condition,scale,acc_mean,acc_std,auc_mean,auc_std,fmeasure_mean,fmeasure_std
both_train_test,0.1,0.4792,0.1659,0.7399,0.1436,0.4508,0.194
both_train_test,0.2,0.4579,0.1621,0.7304,0.136,0.4288,0.1877
both_train_test,0.3,0.461,0.1787,0.731,0.1469,0.4179,0.218
both_train_test,0.4,0.4643,0.1652,0.7329,0.1397,0.4284,0.1926
train_only,0.1,0.4647,0.1717,0.7191,0.1408,0.4359,0.2049
train_only,0.2,0.4599,0.1562,0.7144,0.137,0.4305,0.1891
train_only,0.3,0.4279,0.1522,0.7034,0.1301,0.3802,0.1897
train_only,0.4,0.4471,0.1691,0.7153,0.1378,0.4228,0.1958
test_only,0.1,0.4632,0.179,0.7353,0.1477,0.4242,0.2109
test_only,0.2,0.4682,0.1715,0.7381,0.1431,0.4383,0.1997
test_only,0.3,0.4543,0.1623,0.7173,0.1443,0.4263,0.1947
test_only,0.4,0.4346,0.1636,0.7097,0.1483,0.3931,0.2011
