subject,class,n_trials,median_trial_correlation
4,feet,144,0.014727770343841465
4,left_hand,144,0.014780110813157459
4,right_hand,144,0.01554352218346369
4,tongue,144,0.013816666655749401
7,feet,144,0.009421337292190116
7,left_hand,144,0.0095703962414474
7,right_hand,144,0.016194742641834084
7,tongue,144,0.01054796619787884
6,feet,144,0.006683001967743575
6,left_hand,144,0.012255046053973269
6,right_hand,144,0.007650689866991104
6,tongue,144,0.014013021263796742
2,feet,144,0.005611948170074075
2,left_hand,144,0.003280389870953548
2,right_hand,144,0.004134301278711756
2,tongue,144,0.0050292936607134
5,feet,144,0.029420620236464502
5,left_hand,144,0.020800021001142005
5,right_hand,144,0.018545052008356468
5,tongue,144,0.021479644314089493
1,feet,144,0.005391719520997118
1,left_hand,144,0.008858084728444949
1,right_hand,144,0.010307496074309627
1,tongue,144,0.008507916582552798
3,feet,144,0.010608996217084256
3,left_hand,144,0.014015564414040557
3,right_hand,144,0.011747120048575262
3,tongue,144,0.00793028835023089
8,feet,144,0.002467404859052136
8,left_hand,144,0.002331643251812409
8,right_hand,144,0.002012012648171766
8,tongue,144,0.0027542219267968227
9,feet,144,0.008272473162881327
9,left_hand,144,0.008232560756083843
9,right_hand,144,0.010659010103773079
9,tongue,144,0.0028336823310096074
