condition,duration,subject,epoch,accuracy,auc,fmeasure
both,50,1,46,0.6128472222222222,0.865523726851852,0.6048849850441181
both,50,2,15,0.3003472222222222,0.5833654835390947,0.24553144641635719
both,50,3,,0.671875,0.886111914866255,0.6714612355073741
both,50,4,17,0.3993055555555556,0.6769949202674898,0.3458947675728312
both,50,5,15,0.25,0.5158621077674898,0.10013908205841446
both,50,6,15,0.2690972222222222,0.5726755401234568,0.21334145711618913
both,50,7,30,0.3802083333333333,0.6522834683641976,0.3748542216284152
both,50,8,23,0.6006944444444444,0.8546368634259259,0.6010419459811058
both,50,9,17,0.5260416666666666,0.7811294367283951,0.5198873404984943
both,100,1,37,0.6319444444444444,0.8707360789609053,0.6088484358318119
both,100,2,20,0.2934027777777778,0.571072048611111,0.26668022971787325
both,100,3,27,0.6753472222222222,0.8959860468106996,0.6349984218561466
both,100,4,30,0.40625,0.6955375514403292,0.39876966647983814
both,100,5,15,0.234375,0.5312218685699589,0.15529953917050693
both,100,6,15,0.2795138888888889,0.5775623713991769,0.2208138078809124
both,100,7,15,0.3055555555555556,0.6039335776748972,0.2296597926061988
both,100,8,19,0.5972222222222222,0.8387345679012347,0.6007694013828982
both,100,9,17,0.484375,0.760959201388889,0.4798638364590519
both,150,1,25,0.5763888888888888,0.845703125,0.5643248339749354
both,150,2,16,0.3038194444444444,0.57397762345679,0.27020484730106337
both,150,3,,0.6996527777777778,0.9050845550411525,0.6998469738985968
both,150,4,58,0.4270833333333333,0.7273863490226337,0.4015327984872543
both,150,5,15,0.25,0.543872974537037,0.1
both,150,6,15,0.2378472222222222,0.5294616448045267,0.1875042660036078
both,150,7,18,0.3246527777777778,0.6170789930555555,0.2966072289649475
both,150,8,22,0.6128472222222222,0.8445698302469135,0.6149266616745641
both,150,9,36,0.5815972222222222,0.8352342142489712,0.5800739094616593
both,200,1,38,0.625,0.8739631558641975,0.6152194653828181
both,200,2,15,0.2934027777777778,0.5661530671296297,0.18470361117419942
both,200,3,35,0.6753472222222222,0.8909304269547325,0.6617514415940876
both,200,4,28,0.4114583333333333,0.6883479616769548,0.4053921421752088
both,200,5,15,0.2482638888888889,0.544970100308642,0.10438947023329583
both,200,6,15,0.2586805555555556,0.5280550733024691,0.2184597963585673
both,200,7,18,0.3107638888888889,0.6188110853909464,0.2722414196068711
both,200,8,39,0.6059027777777778,0.8466354809670782,0.5970485125451364
both,200,9,22,0.5868055555555556,0.8363192836934158,0.5933288667289935
train,50,1,55,0.6163194444444444,0.8854407793209876,0.5947127439913233
train,50,2,15,0.2326388888888889,0.4898465631430042,0.1903275723338217
train,50,3,58,0.6979166666666666,0.9368569958847738,0.6874953556936311
train,50,4,18,0.4340277777777778,0.7165637860082305,0.3935135655854358
train,50,5,15,0.2534722222222222,0.5109109760802469,0.11044448509237242
train,50,6,17,0.3333333333333333,0.6423128858024691,0.30526168744506316
train,50,7,37,0.3524305555555556,0.6504669817386831,0.35100664324802255
train,50,8,46,0.6961805555555556,0.9035574202674898,0.6939126987623964
train,50,9,25,0.5677083333333334,0.8166875643004116,0.5716402761470267
train,100,1,52,0.6527777777777778,0.8831782085905351,0.6125357360585671
train,100,2,15,0.24305555555555555,0.5079411008230452,0.1974269237349782
train,100,3,,0.6805555555555556,0.9334691679526749,0.6788781972346118
train,100,4,22,0.3680555555555556,0.7089602623456791,0.29998021906200456
train,100,5,15,0.2517361111111111,0.5070971579218108,0.14202622022527236
train,100,6,16,0.2725694444444444,0.5905550733024691,0.25915805339133474
train,100,7,33,0.3715277777777778,0.6854102366255144,0.3386300998593488
train,100,8,33,0.65625,0.8876953125,0.6540898778701986
train,100,9,22,0.5555555555555556,0.7993706597222222,0.5477609442607516
train,150,1,53,0.6440972222222222,0.8739671746399177,0.6139969683852662
train,150,2,15,0.23958333333333334,0.5048185120884774,0.11781118790850562
train,150,3,32,0.7152777777777778,0.923265496399177,0.7151584526584527
train,150,4,20,0.3732638888888889,0.7033621077674898,0.3101655299430365
train,150,5,15,0.24479166666666666,0.5129967206790123,0.14481624962116718
train,150,6,18,0.3402777777777778,0.6450255594135802,0.3385010742660166
train,150,7,35,0.3385416666666667,0.6386357060185186,0.32298439519298555
train,150,8,34,0.6996527777777778,0.897971322016461,0.7018103516659859
train,150,9,34,0.6180555555555556,0.858494888117284,0.6090093569050143
train,200,1,59,0.5972222222222222,0.8555571630658437,0.5697982308143793
train,200,2,15,0.22916666666666666,0.5111119148662551,0.13159480443720137
train,200,3,34,0.7291666666666666,0.9319420331790124,0.7245824529007872
train,200,4,27,0.3802083333333333,0.6918523341049383,0.36004226495915664
train,200,5,15,0.2534722222222222,0.5268012152777778,0.10731541597463386
train,200,6,16,0.2899305555555556,0.5922027713477366,0.27879989427599006
train,200,7,39,0.3680555555555556,0.666895736882716,0.3521453676947205
train,200,8,36,0.6597222222222222,0.9028822659465021,0.6529552543933542
train,200,9,26,0.6215277777777778,0.8517754951131687,0.6123307687114133
test,50,1,20,0.5815972222222222,0.8509275334362139,0.5631136518183467
test,50,2,17,0.3177083333333333,0.5812395511831275,0.3016300695383169
test,50,3,40,0.640625,0.900535300925926,0.6379663948603904
test,50,4,18,0.3767361111111111,0.6438802083333334,0.3740551597511019
test,50,5,15,0.2708333333333333,0.5360886059670782,0.1645004741451442
test,50,6,15,0.328125,0.5957151813271605,0.2757793750725044
test,50,7,25,0.3767361111111111,0.6693954153806584,0.36417338811921685
test,50,8,30,0.6423611111111112,0.8599135159465021,0.6387198681926802
test,50,9,18,0.5451388888888888,0.7911040380658436,0.5356543684330062
test,100,1,34,0.5868055555555556,0.8468404385288065,0.5756984014310849
test,100,2,15,0.2847222222222222,0.5585173932613168,0.18727927608785355
test,100,3,46,0.6579861111111112,0.8750522440843621,0.6365228277459052
test,100,4,20,0.3576388888888889,0.6724014596193415,0.3478344477686072
test,100,5,15,0.2361111111111111,0.5264234503600823,0.1497947569458883
test,100,6,15,0.3003472222222222,0.5809743119855967,0.2739489150869979
test,100,7,16,0.3194444444444444,0.6237501607510288,0.28767980557670997
test,100,8,25,0.6059027777777778,0.8457433127572017,0.6083849771131448
test,100,9,24,0.5381944444444444,0.7977832433127574,0.5468691626270613
test,150,1,35,0.5607638888888888,0.8653549382716051,0.543488433282667
test,150,2,16,0.2795138888888889,0.5671215920781894,0.19468500318910156
test,150,3,43,0.6545138888888888,0.884472254372428,0.6587998776446669
test,150,4,19,0.4010416666666667,0.6978744695216049,0.39978934396858146
test,150,5,15,0.25,0.5277456275720164,0.10300683023619643
test,150,6,17,0.3559027777777778,0.6356618119855968,0.35783871184161536
test,150,7,24,0.359375,0.6352840470679012,0.3558236009076385
test,150,8,28,0.6510416666666666,0.863646958590535,0.6472356624861029
test,150,9,21,0.5729166666666666,0.8311993634259259,0.5565829329846863
test,200,1,25,0.6145833333333334,0.8590414416152264,0.6062461025445648
test,200,2,15,0.2534722222222222,0.5393116640946503,0.13779680433364855
test,200,3,40,0.6423611111111112,0.8708767361111112,0.6350695605102723
test,200,4,18,0.4288194444444444,0.6793499228395062,0.38963437425208286
test,200,5,15,0.24479166666666666,0.5425106095679012,0.12350341908933198
test,200,6,15,0.2361111111111111,0.5373826517489712,0.20863788381161424
test,200,7,23,0.3715277777777778,0.6118505658436214,0.34114494087884856
test,200,8,32,0.5902777777777778,0.8216105645576132,0.590488317430238
test,200,9,28,0.6197916666666666,0.8648043659979424,0.6253696400755224
