condition,bandwidth,subject,acc,auc,fmeasure
both,4,1,0.6498842592592592,0.8916457690329218,0.638058725126069
both,4,2,0.2702546296296296,0.5313437714334706,0.22294755980529538
both,4,3,0.6979166666666666,0.9293526020233197,0.6910997498373357
both,4,4,0.4039351851851852,0.7078323259602195,0.35301753215783366
both,4,5,0.2552083333333333,0.512743537808642,0.1426795530437966
both,4,6,0.3177083333333333,0.6201158479080933,0.3049578226143382
both,4,7,0.34953703703703703,0.6636190950788752,0.3149143117510937
both,4,8,0.6828703703703703,0.9052921917866942,0.672792875857524
both,4,9,0.5833333333333334,0.8299508637688615,0.5727834123481337
both,6,1,0.638888888888889,0.8793858239026063,0.6198678057042627
both,6,2,0.2638888888888889,0.5423632544581619,0.18111893043770866
both,6,3,0.7037037037037037,0.9330994405864198,0.7017937730738831
both,6,4,0.40914351851851855,0.6920130851337448,0.3739267767802769
both,6,5,0.24826388888888887,0.5154475040723594,0.11458333333333333
both,6,6,0.32465277777777773,0.5977024659207818,0.3044252607477424
both,6,7,0.328125,0.6524522569444443,0.3009053609793552
both,6,8,0.7037037037037037,0.9048514660493828,0.6983838548516145
both,6,9,0.5868055555555556,0.838338048696845,0.5849736519462337
both,8,1,0.6412037037037037,0.8768687307098766,0.6211293647158477
both,8,2,0.2725694444444444,0.5359821084104939,0.21693768749738518
both,8,3,0.6979166666666666,0.9282273448216736,0.6951083521760576
both,8,4,0.4050925925925926,0.6957559049211248,0.35603293847310463
both,8,5,0.24826388888888892,0.5342841756687243,0.12249723642270423
both,8,6,0.3252314814814815,0.6273550025720165,0.31199894216952806
both,8,7,0.34664351851851855,0.6445660793895748,0.31987682445135684
both,8,8,0.6741898148148149,0.9007094478737998,0.669169942200357
both,8,9,0.6226851851851851,0.8584439836248285,0.6238134975476609
train,4,1,0.6099537037037037,0.8684976208847738,0.5909983474665026
train,4,2,0.2899305555555556,0.5649628397205076,0.21686263237784323
train,4,3,0.6736111111111112,0.8964106974451304,0.669959726489329
train,4,4,0.4201388888888889,0.7051424254115227,0.3979257143506063
train,4,5,0.2523148148148148,0.5396639767661181,0.14679553521101854
train,4,6,0.29340277777777773,0.5722535686728395,0.26336110397963636
train,4,7,0.3709490740740741,0.6568501371742113,0.3532735235881274
train,4,8,0.6394675925925926,0.8600394375857338,0.636218985587271
train,4,9,0.45023148148148145,0.7716638803155006,0.4063525223870668
train,6,1,0.6458333333333334,0.8770676601080246,0.6360628504419842
train,6,2,0.27141203703703703,0.5657310956790124,0.17518324459115578
train,6,3,0.6574074074074073,0.8877000010716735,0.6612685217763619
train,6,4,0.4085648148148148,0.688422978823731,0.401649572732907
train,6,5,0.25578703703703703,0.5266270683299039,0.1276336577088124
train,6,6,0.27314814814814814,0.556096750685871,0.2447134461489342
train,6,7,0.35821759259259256,0.6422820751886146,0.35005438129032423
train,6,8,0.6273148148148148,0.8539885009430727,0.6272200843022461
train,6,9,0.578125,0.8185308427640604,0.5730568647729669
train,8,1,0.6371527777777778,0.8766329625342935,0.6230519972757912
train,8,2,0.2945601851851852,0.5680392125342936,0.2622724425609596
train,8,3,0.6348379629629629,0.8697233474794239,0.6298483765856172
train,8,4,0.4166666666666667,0.6947244191529492,0.4027817541292697
train,8,5,0.24652777777777776,0.5296250750171466,0.1162534001977626
train,8,6,0.2465277777777778,0.554735725308642,0.20251365131760676
train,8,7,0.3576388888888889,0.6281667952674898,0.35084638371305393
train,8,8,0.6163194444444445,0.8519483024691358,0.6143022448117502
train,8,9,0.5873842592592592,0.830208065414952,0.5795851435647984
test,4,1,0.6336805555555555,0.8790670010288065,0.6184748033085857
test,4,2,0.2905092592592593,0.5638576763974622,0.23552371204238343
test,4,3,0.6869212962962963,0.9251047560871055,0.6740869488178856
test,4,4,0.4021990740740741,0.7127941743827161,0.3402741450722859
test,4,5,0.24826388888888892,0.5140757619598766,0.10059047044825065
test,4,6,0.3107638888888889,0.6078291109396434,0.2880992084988953
test,4,7,0.3854166666666667,0.6722942922668039,0.36757318540756173
test,4,8,0.6678240740740741,0.8985781571502058,0.6518824158719919
test,4,9,0.6180555555555556,0.8570199974279835,0.6194855081975983
test,6,1,0.611111111111111,0.8686463155864197,0.5945495136939751
test,6,2,0.2650462962962963,0.53011000728738,0.18389320603334366
test,6,3,0.6898148148148148,0.9277303562242798,0.6802351462065611
test,6,4,0.4079861111111111,0.6965609996570645,0.3752324874429807
test,6,5,0.24826388888888887,0.514622315457819,0.10700461307491671
test,6,6,0.33101851851851855,0.6228044088648833,0.3110476435845552
test,6,7,0.34664351851851855,0.6425004286694102,0.30733578580774207
test,6,8,0.6562500000000001,0.8818975587277093,0.6402936042393396
test,6,9,0.59375,0.828442483281893,0.5932287374134171
test,8,1,0.625,0.8743328832304527,0.6096356972002851
test,8,2,0.2743055555555555,0.5596969039351852,0.2127765373887707
test,8,3,0.6909722222222223,0.9261630336934156,0.6660219449034632
test,8,4,0.39699074074074076,0.6948945473251028,0.3499651835385085
test,8,5,0.2511574074074074,0.5004969885973937,0.11647652512263613
test,8,6,0.296875,0.6047842185356652,0.2740328215167858
test,8,7,0.31539351851851855,0.6278747642318244,0.2622498108187504
test,8,8,0.6950231481481483,0.9057409550754457,0.6840510748145449
test,8,9,0.6157407407407408,0.8541773834019204,0.6144635547315915
