condition,scale,acc_mean,acc_std,auc_mean,auc_std,fmeasure_mean,fmeasure_std
both_train_test,0.5,0.4753,0.1849,0.7278,0.1625,0.435,0.2253
both_train_test,1.5,0.447,0.1687,0.7258,0.149,0.4023,0.2034
both_train_test,2.0,0.4761,0.1664,0.7417,0.1401,0.4438,0.1878
both_train_test,2.5,0.474,0.1674,0.7402,0.1359,0.4396,0.1991
train_only,0.5,0.3993,0.1367,0.6922,0.1257,0.3596,0.1671
train_only,1.5,0.441,0.1477,0.7065,0.1359,0.4042,0.1792
train_only,2.0,0.4435,0.1504,0.7069,0.1318,0.4062,0.183
train_only,2.5,0.4049,0.1149,0.7138,0.118,0.3455,0.1517
test_only,0.5,0.4431,0.1644,0.7253,0.15,0.3731,0.201
test_only,1.5,0.4417,0.1796,0.7069,0.1492,0.4008,0.2156
test_only,2.0,0.3899,0.153,0.6894,0.1407,0.3316,0.1973
test_only,2.5,0.3341,0.1401,0.6543,0.123,0.2333,0.1919
