condition,duration,acc_mean,acc_std,auc_mean,auc_std,fmeasure_mean,fmeasure_std
both,50,0.4456,0.1515,0.7098,0.1326,0.4086,0.1891
both,100,0.4342,0.1589,0.7051,0.1332,0.3995,0.1777
both,150,0.446,0.1649,0.7136,0.1405,0.4128,0.1991
both,200,0.4462,0.1657,0.7105,0.143,0.4058,0.2038
train,50,0.4649,0.1735,0.7281,0.1579,0.4331,0.2016
train,100,0.4502,0.1746,0.7226,0.1545,0.4145,0.1968
train,150,0.4682,0.1863,0.7287,0.1552,0.4305,0.2196
train,200,0.4587,0.1816,0.7257,0.1545,0.4211,0.2149
test,50,0.4533,0.1394,0.7143,0.1295,0.4284,0.1612
test,100,0.4319,0.1535,0.7031,0.1307,0.4016,0.1798
test,150,0.4539,0.1483,0.7232,0.1317,0.4241,0.1832
test,200,0.4446,0.1651,0.703,0.1421,0.4064,0.2027
