condition,bandwidth,row,col,value
both,4,1,1,0.26466049333333336
both,4,1,2,0.27263374444444444
both,4,1,3,0.23379629592592593
both,4,1,4,0.22890946518518518
both,4,2,1,0.08281892962962963
both,4,2,2,0.5992798351851852
both,4,2,3,0.22788065740740737
both,4,2,4,0.09002057518518519
both,4,3,1,0.08744855925925926
both,4,3,2,0.2554012337037037
both,4,3,3,0.5645576129629629
both,4,3,4,0.09259259333333335
both,4,4,1,0.13760288037037036
both,4,4,2,0.2448559677777778
both,4,4,3,0.17463991666666667
both,4,4,4,0.44290123481481486
both,6,1,1,0.29809670777777775
both,6,1,2,0.3330761314814815
both,6,1,3,0.17798353814814813
both,6,1,4,0.19084362148148146
both,6,2,1,0.08333333222222222
both,6,2,2,0.6460905351851852
both,6,2,3,0.1900720162962963
both,6,2,4,0.08050411481481481
both,6,3,1,0.08461934148148148
both,6,3,2,0.3163580244444445
both,6,3,3,0.5120884762962964
both,6,3,4,0.0869341562962963
both,6,4,1,0.14583333296296297
both,6,4,2,0.30324074074074076
both,6,4,3,0.13734567814814816
both,6,4,4,0.41358024629629625
both,8,1,1,0.31918724296296297
both,8,1,2,0.2939814803703704
both,8,1,3,0.191615227037037
both,8,1,4,0.19521604888888888
both,8,2,1,0.10879629666666668
both,8,2,2,0.6129115222222222
both,8,2,3,0.1905864188888889
both,8,2,4,0.0877057614814815
both,8,3,1,0.11291152259259259
both,8,3,2,0.274691357037037
both,8,3,3,0.5334362137037036
both,8,3,4,0.0789609051851852
both,8,4,1,0.16280864259259262
both,8,4,2,0.266203702962963
both,8,4,3,0.1548353903703704
both,8,4,4,0.41615226370370373
train,4,1,1,0.27083333370370366
train,4,1,2,0.22762345592592595
train,4,1,3,0.262860082962963
train,4,1,4,0.23868312814814813
train,4,2,1,0.09027777777777778
train,4,2,2,0.5100308637037037
train,4,2,3,0.27983539
train,4,2,4,0.11985596740740741
train,4,3,1,0.0787037037037037
train,4,3,2,0.22222222296296298
train,4,3,3,0.5745884774074075
train,4,3,4,0.1244855962962963
train,4,4,1,0.15303497925925927
train,4,4,2,0.19624485555555557
train,4,4,3,0.22839505999999998
train,4,4,4,0.4223251018518519
train,6,1,1,0.3240740737037037
train,6,1,2,0.22530864185185187
train,6,1,3,0.24151234481481484
train,6,1,4,0.20910493814814815
train,6,2,1,0.10879629666666667
train,6,2,2,0.5349794244444444
train,6,2,3,0.24331275666666663
train,6,2,4,0.11291152185185187
train,6,3,1,0.13348765333333332
train,6,3,2,0.21090534962962962
train,6,3,3,0.5480967077777779
train,6,3,4,0.10751028851851852
train,6,4,1,0.20164609037037037
train,6,4,2,0.19444444407407407
train,6,4,3,0.19958847592592593
train,6,4,4,0.404320987037037
train,8,1,1,0.3312757207407408
train,8,1,2,0.17618312814814813
train,8,1,3,0.2479423874074074
train,8,1,4,0.24459876555555551
train,8,2,1,0.15534979370370372
train,8,2,2,0.4799382711111111
train,8,2,3,0.24202674851851855
train,8,2,4,0.12268518518518519
train,8,3,1,0.15226337407407406
train,8,3,2,0.1635802462962963
train,8,3,3,0.5643004107407408
train,8,3,4,0.11985596555555558
train,8,4,1,0.23225308703703704
train,8,4,2,0.15637860074074073
train,8,4,3,0.19238683111111113
train,8,4,4,0.41898148148148145
test,4,1,1,0.24434156333333334
test,4,1,2,0.3233024688888889
test,4,1,3,0.21219135814814816
test,4,1,4,0.22016460962962964
test,4,2,1,0.06532921703703704
test,4,2,2,0.6509773662962962
test,4,2,3,0.19701645962962963
test,4,2,4,0.08667695518518519
test,4,3,1,0.08101851777777777
test,4,3,2,0.286265432962963
test,4,3,3,0.5434670788888889
test,4,3,4,0.0892489711111111
test,4,4,1,0.12139917666666666
test,4,4,2,0.27829218037037035
test,4,4,3,0.15303497888888887
test,4,4,4,0.44727366148148157
test,6,1,1,0.26440329222222225
test,6,1,2,0.3822016466666667
test,6,1,3,0.15637859999999998
test,6,1,4,0.1970164614814815
test,6,2,1,0.08564814814814815
test,6,2,2,0.6970164611111112
test,6,2,3,0.13966049444444445
test,6,2,4,0.07767489703703705
test,6,3,1,0.10133744851851852
test,6,3,2,0.34233538999999996
test,6,3,3,0.470679012962963
test,6,3,4,0.0856481474074074
test,6,4,1,0.15612139925925925
test,6,4,2,0.31610082333333334
test,6,4,3,0.1154835388888889
test,6,4,4,0.41229423925925923
test,8,1,1,0.262088477037037
test,8,1,2,0.338477365925926
test,8,1,3,0.19675925925925924
test,8,1,4,0.20267489666666666
test,8,2,1,0.08359053481481483
test,8,2,2,0.6594650214814815
test,8,2,3,0.18055555444444443
test,8,2,4,0.07638888851851854
test,8,3,1,0.09670781851851852
test,8,3,2,0.30246913555555555
test,8,3,3,0.5187757211111111
test,8,3,4,0.08204732518518518
test,8,4,1,0.15792181074074071
test,8,4,2,0.29475308666666666
test,8,4,3,0.13811728407407406
test,8,4,4,0.4092078185185185
