condition,scale,subject,epoch,accuracy,auc,fmeasure
both_train_test,0.5,1,41,0.625,0.8672638567386831,0.5987615053918127
both_train_test,0.5,2,15,0.23958333333333334,0.4935096772119341,0.12933622601991926
both_train_test,0.5,3,39,0.7447916666666666,0.9357799639917695,0.7464706347968799
both_train_test,0.5,4,19,0.4600694444444444,0.7112027391975309,0.4219583799830279
both_train_test,0.5,5,15,0.2465277777777778,0.513573414994856,0.10518221939123709
both_train_test,0.5,6,16,0.3090277777777778,0.6030012217078189,0.26338687911774067
both_train_test,0.5,7,40,0.3524305555555556,0.6499927662037037,0.34826622629326387
both_train_test,0.5,8,51,0.6666666666666666,0.9077490033436213,0.6654648129136144
both_train_test,0.5,9,36,0.6336805555555556,0.8685378086419754,0.6365382081686429
both_train_test,1.5,1,32,0.625,0.8678948045267489,0.5843965757849108
both_train_test,1.5,2,15,0.24131944444444445,0.5180965470679012,0.15017645464053972
both_train_test,1.5,3,58,0.6631944444444444,0.9322916666666666,0.655736197242665
both_train_test,1.5,4,25,0.3836805555555556,0.7060988940329218,0.37036950113342193
both_train_test,1.5,5,15,0.25,0.5224810313786008,0.1
both_train_test,1.5,6,16,0.2795138888888889,0.598118409207819,0.23185731046653207
both_train_test,1.5,7,27,0.3611111111111111,0.6882273984053499,0.32543109911530965
both_train_test,1.5,8,31,0.65625,0.8928031764403292,0.6502816404536582
both_train_test,1.5,9,23,0.5625,0.8065481931584362,0.5526094292715275
both_train_test,2.0,1,56,0.640625,0.8755505722736624,0.6051544456310707
both_train_test,2.0,2,26,0.3142361111111111,0.5997661072530865,0.2771904893894912
both_train_test,2.0,3,38,0.7170138888888888,0.9276901684670782,0.7050723445671321
both_train_test,2.0,4,22,0.4236111111111111,0.6942435056584362,0.3837291153023895
both_train_test,2.0,5,15,0.25,0.528686021090535,0.12234963047819651
both_train_test,2.0,6,17,0.2934027777777778,0.624658404063786,0.2744252873563218
both_train_test,2.0,7,31,0.4010416666666667,0.6722326710390947,0.4025970360929215
both_train_test,2.0,8,40,0.6545138888888888,0.9043692129629628,0.6392458568186251
both_train_test,2.0,9,28,0.5902777777777778,0.8484358924897121,0.584208128704364
both_train_test,2.5,1,43,0.6388888888888888,0.8725726594650206,0.6260413828431713
both_train_test,2.5,2,27,0.3211805555555556,0.6106449331275721,0.2736452359149937
both_train_test,2.5,3,46,0.6944444444444444,0.9289158950617283,0.6973281528418955
both_train_test,2.5,4,20,0.4010416666666667,0.7246334876543211,0.34156974405286844
both_train_test,2.5,5,15,0.2465277777777778,0.5241066261574074,0.10568181818181818
both_train_test,2.5,6,17,0.3229166666666667,0.633178208590535,0.3064798360907847
both_train_test,2.5,7,37,0.3628472222222222,0.6612373006687243,0.3448878963343668
both_train_test,2.5,8,39,0.6961805555555556,0.9081669560185185,0.6913271928542819
both_train_test,2.5,9,22,0.5815972222222222,0.7986191486625515,0.5697789714445458
train_only,0.5,1,24,0.5625,0.8533548739711935,0.5487457648305321
